You are now connected to database "tasks_test" as user "verityg".
 id |                                                              title                                                              |                                                              description                                                               | status |     created_at      
----+---------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+--------+---------------------
  1 | ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper                            | odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor                                                  | todo   | 2024-12-05 05:39:44
  2 | maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum                        | amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non                             | todo   | 2024-11-07 05:31:46
  3 | etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus                                                     | in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut                 | todo   | 2025-01-30 14:35:04
  4 | mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor             | porttitor id consequat in consequat ut nulla sed accumsan felis                                                                        | doing  | 2024-10-07 14:33:41
  5 | accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel                        | convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim               | doing  | 2024-06-02 08:14:30
  6 | nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi                                                      | quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis                                | done   | 2025-01-15 06:01:48
  7 | accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in              | in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices                                                       | done   | 2024-07-03 02:06:06
  8 | molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum  | dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis               | done   | 2024-04-19 13:06:53
  9 | libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum                   | justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna | done   | 2024-07-19 10:34:26
 10 | lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis                             | sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id                              | done   | 2025-01-10 03:27:53
 11 | odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor                                                | nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut                            | done   | 2025-01-24 10:03:33
 12 | eget congue eget semper rutrum nulla nunc purus phasellus in felis donec                                                        | nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla                                                                   | done   | 2024-12-18 11:20:01
 13 | non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget                                   | turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu                              | done   | 2025-01-04 01:44:28
 14 | tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus | vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet                                      | done   | 2024-07-23 12:18:05
 15 | nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum                              | consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac                                                | done   | 2024-08-10 20:23:38
 16 | massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit                 | quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis               | done   | 2024-05-12 19:46:11
 17 | curae duis faucibus accumsan odio curabitur convallis duis consequat dui                                                        | luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique                      | done   | 2024-11-08 09:14:13
 18 | vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet            | ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio                                                | done   | 2024-09-21 17:22:15
 19 | duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit                                   | tortor duis mattis egestas metus aenean fermentum donec ut mauris                                                                      | done   | 2024-11-16 19:28:48
 20 | viverra eget congue eget semper rutrum nulla nunc purus phasellus                                                               | proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante                                              | done   | 2025-02-16 13:00:39
 21 | aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam                                    | in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt                                                         | done   | 2024-05-01 15:14:28
(21 rows)

